epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.416,1.07814,2.10301,1.29212,0.9542,0.21707,0.62493,0.37893,1.12987,2.80473,1.48975,0.0004,0.0004,0.0004
2,203.208,1.13416,1.63884,1.30294,0.66211,0.55113,0.63855,0.4074,1.28008,2.47075,1.64948,0.000803764,0.000803764,0.000803764
3,327.095,1.13383,1.48831,1.30739,0.3347,0.17708,0.1525,0.0736,2.47177,3.57817,2.23609,0.0011909,0.0011909,0.0011909
4,412.295,1.19048,1.48268,1.37651,0.52305,0.5,0.48725,0.28736,1.4894,2.88671,1.95463,0.0015614,0.0015614,0.0015614
5,490.199,1.17038,1.43373,1.34277,0.40747,0.50861,0.38403,0.16512,1.91357,6.08208,2.79033,0.0018416,0.0018416,0.0018416
6,566.537,1.12774,1.41677,1.30656,0.52263,0.40625,0.38707,0.17851,1.96703,4.18665,2.12314,0.001802,0.001802,0.001802
7,644.54,1.14759,1.27994,1.30032,0.44964,0.5617,0.43211,0.19465,1.83914,2.86038,2.11248,0.0017624,0.0017624,0.0017624
8,724.429,1.15565,1.27468,1.33148,0.30538,0.42708,0.31306,0.13484,1.84285,7.88562,2.23435,0.0017228,0.0017228,0.0017228
9,848.673,1.11542,1.22022,1.33163,0.40191,0.55208,0.41587,0.19387,1.74979,3.1944,2.11654,0.0016832,0.0016832,0.0016832
10,1003.77,1.13107,1.14706,1.31372,0.65388,0.66911,0.65194,0.39813,1.3996,1.98953,1.71101,0.0016436,0.0016436,0.0016436
11,1144.8,1.06168,1.05365,1.26939,0.41213,0.38542,0.31623,0.15287,2.0037,2.72734,2.28336,0.001604,0.001604,0.001604
12,1269.16,1.045,1.03706,1.25419,0.70374,0.5444,0.60974,0.39578,1.38745,1.69138,1.6302,0.0015644,0.0015644,0.0015644
13,1423.46,1.06922,1.03663,1.25321,0.84521,0.61458,0.75197,0.52703,1.14552,1.56293,1.49313,0.0015248,0.0015248,0.0015248
14,1545.09,0.99887,0.93566,1.2239,0.82463,0.78372,0.83551,0.5528,1.14123,1.33871,1.44832,0.0014852,0.0014852,0.0014852
15,1616.9,1.00748,0.94557,1.24749,0.87919,0.6823,0.83218,0.55495,1.17724,1.1499,1.44335,0.0014456,0.0014456,0.0014456
16,1689.04,0.99871,0.90485,1.22305,0.78002,0.81261,0.84524,0.58586,1.07866,1.16047,1.3961,0.001406,0.001406,0.001406
17,1761.93,1.0011,0.88023,1.23747,0.91301,0.79167,0.87403,0.60118,1.05408,1.02334,1.42689,0.0013664,0.0013664,0.0013664
18,1833.87,1.01235,0.88696,1.23968,0.82129,0.81382,0.89651,0.6358,1.04981,0.96304,1.40911,0.0013268,0.0013268,0.0013268
19,1906.09,0.98025,0.83304,1.22056,0.8688,0.73958,0.86376,0.585,1.15248,1.03912,1.53863,0.0012872,0.0012872,0.0012872
20,1978.29,0.96868,0.85176,1.18823,0.93484,0.74731,0.84976,0.60256,1.09255,1.01156,1.39411,0.0012476,0.0012476,0.0012476
21,2050.27,0.98231,0.82021,1.20771,0.82828,0.85413,0.88722,0.62902,1.02161,0.87541,1.34153,0.001208,0.001208,0.001208
22,2122.24,1.0027,0.86059,1.24221,0.93322,0.8125,0.90572,0.6495,1.00574,0.82252,1.32975,0.0011684,0.0011684,0.0011684
23,2193.95,0.94257,0.79663,1.19995,0.89713,0.8125,0.89299,0.65414,0.99892,0.80727,1.30017,0.0011288,0.0011288,0.0011288
24,2265.75,0.92038,0.79126,1.18053,0.8255,0.79167,0.85481,0.61625,1.06266,0.93596,1.34195,0.0010892,0.0010892,0.0010892
